Application,Type,Macports?,Port,Alternative
direnv,formula,yes,direnv,
fzf,formula,yes,fzf,
sqlite,formula,yes,sqlite3,
xz,formula,yes,xz,
gnu-getopt,formula,yes,getopt,
goenv,formula,no,,curl-style
k3d,formula,yes,k3d,
pqrs,formula,no,,
pyenv,formula,no,,pyenv-installer
smartmontools,formula,yes,smartmontools,
1password,mas,no,,mas
amphetamine,mas,no,,mas
slack,mas,no,,mas
balenaethcher,cask,no,,cask
docker,cask,no,,cask
google-chrome,cask,no,,cask
intellij-idea,cask,no,,cask
iterm2,cask,no,,cask
itsycal,cask,no,,cask
monitorcontrol,cask,no,,cask
rectangle,cask,no,,cask
spotify,cask,no,,cask
sublime-text,cask,no,,cask
vagrant,cask,no,,cask
vagrant-vmware-utility,cask,no,,cask
visual-studio-code,cask,no,,cask
zoom,cask,no,,cask
logitech-options,manual,no,,n/a
postman-agent,manual,no,,n/a
vmware-fusion-player,manual,no,,n/a
git,formula,yes,git,
gh,formula,yes,gh,
gnupg,formula,yes,gnupg2,
graphviz,formula,yes,graphviz,
htop,formula,yes,htop,
httpie,formula,yes,httpie,
kafkacat,formula,yes,kafkacat,
lsd,formula,yes,lsd,
mas,formula,yes,mas,
nmap,formula,yes,nmap,
pass,formula,yes,pass,
protobuf,formula,yes,,
ripgrep,formula,yes,ripgrep,
watch,formula,yes,watch,
wget,formula,yes,wget,
font-fira-code,formula,no,,curl-style
kubectl,formula,yes,kubectl,
helm,formula,yes,helm-3.6,
nvm,formula,yes,nvm,
